Division,Sex,Min Age,Max Age,Min Weight,Max Weight,Max Grade,Min Grade,Match Time,Golden Score Time,Minimum Break Time
30-34 Men U 60kg,MALE,30,34,,60,,ORANGE,180,60,600
30-34 Men U 66kg,MALE,30,34,60.1,66,,ORANGE,180,60,600
30-34 Men U 73kg,MALE,30,34,66.1,73,,ORANGE,180,60,600
30-34 Men U 81kg,MALE,30,34,73.1,81,,ORANGE,180,60,600
30-34 Men U 90kg,MALE,30,34,81.1,90,,ORANGE,180,60,600
30-34 Men U100kg,MALE,30,34,90.1,100,,ORANGE,180,60,600
30-34 Men +100kg,MALE,30,34,100.1,,,ORANGE,180,60,600
30-34 Women U 48kg,FEMALE,30,34,,48,,ORANGE,180,60,600
30-34 Women U 52kg,FEMALE,30,34,48.1,52,,ORANGE,180,60,600
30-34 Women U 57kg,FEMALE,30,34,52.1,57,,ORANGE,180,60,600
30-34 Women U 63kg,FEMALE,30,34,57.1,63,,ORANGE,180,60,600
30-34 Women U 70kg,FEMALE,30,34,63.1,70,,ORANGE,180,60,600
30-34 Women U 78kg,FEMALE,30,34,70.1,78,,ORANGE,180,60,600
30-34 Women + 78kg,FEMALE,30,34,78.1,,,ORANGE,180,60,600
35-39 Men U 60kg,MALE,35,39,,60,,ORANGE,180,60,600
35-39 Men U 66kg,MALE,35,39,60.1,66,,ORANGE,180,60,600
35-39 Men U 73kg,MALE,35,39,66.1,73,,ORANGE,180,60,600
35-39 Men U 81kg,MALE,35,39,73.1,81,,ORANGE,180,60,600
35-39 Men U 90kg,MALE,35,39,81.1,90,,ORANGE,180,60,600
35-39 Men U100kg,MALE,35,39,90.1,100,,ORANGE,180,60,600
35-39 Men +100kg,MALE,35,39,100.1,,,ORANGE,180,60,600
35-39 Women U 48kg,FEMALE,35,39,,48,,ORANGE,180,60,600
35-39 Women U 52kg,FEMALE,35,39,48.1,52,,ORANGE,180,60,600
35-39 Women U 57kg,FEMALE,35,39,52.1,57,,ORANGE,180,60,600
35-39 Women U 63kg,FEMALE,35,39,57.1,63,,ORANGE,180,60,600
35-39 Women U 70kg,FEMALE,35,39,63.1,70,,ORANGE,180,60,600
35-39 Women U 78kg,FEMALE,35,39,70.1,78,,ORANGE,180,60,600
35-39 Women + 78kg,FEMALE,35,39,78.1,,,ORANGE,180,60,600
40-44 Men U 60kg,MALE,40,44,,60,,ORANGE,180,60,600
40-44 Men U 66kg,MALE,40,44,60.1,66,,ORANGE,180,60,600
40-44 Men U 73kg,MALE,40,44,66.1,73,,ORANGE,180,60,600
40-44 Men U 81kg,MALE,40,44,73.1,81,,ORANGE,180,60,600
40-44 Men U 90kg,MALE,40,44,81.1,90,,ORANGE,180,60,600
40-44 Men U100kg,MALE,40,44,90.1,100,,ORANGE,180,60,600
40-44 Men +100kg,MALE,40,44,100.1,,,ORANGE,180,60,600
40-44 Women U 48kg,FEMALE,40,44,,48,,ORANGE,180,60,600
40-44 Women U 52kg,FEMALE,40,44,48.1,52,,ORANGE,180,60,600
40-44 Women U 57kg,FEMALE,40,44,52.1,57,,ORANGE,180,60,600
40-44 Women U 63kg,FEMALE,40,44,57.1,63,,ORANGE,180,60,600
40-44 Women U 70kg,FEMALE,40,44,63.1,70,,ORANGE,180,60,600
40-44 Women U 78kg,FEMALE,40,44,70.1,78,,ORANGE,180,60,600
40-44 Women + 78kg,FEMALE,40,44,78.1,,,ORANGE,180,60,600
45-49 Men U 60kg,MALE,45,49,,60,,ORANGE,180,60,600
45-49 Men U 66kg,MALE,45,49,60.1,66,,ORANGE,180,60,600
45-49 Men U 73kg,MALE,45,49,66.1,73,,ORANGE,180,60,600
45-49 Men U 81kg,MALE,45,49,73.1,81,,ORANGE,180,60,600
45-49 Men U 90kg,MALE,45,49,81.1,90,,ORANGE,180,60,600
45-49 Men U100kg,MALE,45,49,90.1,100,,ORANGE,180,60,600
45-49 Men +100kg,MALE,45,49,100.1,,,ORANGE,180,60,600
45-49 Women U 48kg,FEMALE,45,49,,48,,ORANGE,180,60,600
45-49 Women U 52kg,FEMALE,45,49,48.1,52,,ORANGE,180,60,600
45-49 Women U 57kg,FEMALE,45,49,52.1,57,,ORANGE,180,60,600
45-49 Women U 63kg,FEMALE,45,49,57.1,63,,ORANGE,180,60,600
45-49 Women U 70kg,FEMALE,45,49,63.1,70,,ORANGE,180,60,600
45-49 Women U 78kg,FEMALE,45,49,70.1,78,,ORANGE,180,60,600
45-49 Women + 78kg,FEMALE,45,49,78.1,,,ORANGE,180,60,600
50-54 Men U 60kg,MALE,50,54,,60,,ORANGE,150,60,600
50-54 Men U 66kg,MALE,50,54,60.1,66,,ORANGE,150,60,600
50-54 Men U 73kg,MALE,50,54,66.1,73,,ORANGE,150,60,600
50-54 Men U 81kg,MALE,50,54,73.1,81,,ORANGE,150,60,600
50-54 Men U 90kg,MALE,50,54,81.1,90,,ORANGE,150,60,600
50-54 Men U100kg,MALE,50,54,90.1,100,,ORANGE,150,60,600
50-54 Men +100kg,MALE,50,54,100.1,,,ORANGE,150,60,600
50-54 Women U 48kg,FEMALE,50,54,,48,,ORANGE,150,60,600
50-54 Women U 52kg,FEMALE,50,54,48.1,52,,ORANGE,150,60,600
50-54 Women U 57kg,FEMALE,50,54,52.1,57,,ORANGE,150,60,600
50-54 Women U 63kg,FEMALE,50,54,57.1,63,,ORANGE,150,60,600
50-54 Women U 70kg,FEMALE,50,54,63.1,70,,ORANGE,150,60,600
50-54 Women U 78kg,FEMALE,50,54,70.1,78,,ORANGE,150,60,600
50-54 Women + 78kg,FEMALE,50,54,78.1,,,ORANGE,150,60,600
55-59 Men U 60kg,MALE,55,59,,60,,ORANGE,150,60,600
55-59 Men U 66kg,MALE,55,59,60.1,66,,ORANGE,150,60,600
55-59 Men U 73kg,MALE,55,59,66.1,73,,ORANGE,150,60,600
55-59 Men U 81kg,MALE,55,59,73.1,81,,ORANGE,150,60,600
55-59 Men U 90kg,MALE,55,59,81.1,90,,ORANGE,150,60,600
55-59 Men U100kg,MALE,55,59,90.1,100,,ORANGE,150,60,600
55-59 Men +100kg,MALE,55,59,100.1,,,ORANGE,150,60,600
55-59 Women U 48kg,FEMALE,55,59,,48,,ORANGE,150,60,600
55-59 Women U 52kg,FEMALE,55,59,48.1,52,,ORANGE,150,60,600
55-59 Women U 57kg,FEMALE,55,59,52.1,57,,ORANGE,150,60,600
55-59 Women U 63kg,FEMALE,55,59,57.1,63,,ORANGE,150,60,600
55-59 Women U 70kg,FEMALE,55,59,63.1,70,,ORANGE,150,60,600
55-59 Women U 78kg,FEMALE,55,59,70.1,78,,ORANGE,150,60,600
55-59 Women + 78kg,FEMALE,55,59,78.1,,,ORANGE,150,60,600
60-64 Men U 60kg,MALE,60,64,,60,,ORANGE,150,60,600
60-64 Men U 66kg,MALE,60,64,60.1,66,,ORANGE,150,60,600
60-64 Men U 73kg,MALE,60,64,66.1,73,,ORANGE,150,60,600
60-64 Men U 81kg,MALE,60,64,73.1,81,,ORANGE,150,60,600
60-64 Men U 90kg,MALE,60,64,81.1,90,,ORANGE,150,60,600
60-64 Men U100kg,MALE,60,64,90.1,100,,ORANGE,150,60,600
60-64 Men +100kg,MALE,60,64,100.1,,,ORANGE,150,60,600
60-64 Women U 48kg,FEMALE,60,64,,48,,ORANGE,150,60,600
60-64 Women U 52kg,FEMALE,60,64,48.1,52,,ORANGE,150,60,600
60-64 Women U 57kg,FEMALE,60,64,52.1,57,,ORANGE,150,60,600
