Division,Sex,Min Age,Max Age,Min Weight,Max Weight,Max Grade,Min Grade,Match Time,Golden Score Time,Minimum Break Time
Cadet Men + 90kg,MALE,15,17,90.1,,,ORANGE,240,0,480
Cadet Men U 50kg,MALE,15,17,,50,,ORANGE,240,0,480
Cadet Men U 55kg,MALE,15,17,50.1,55,,ORANGE,240,0,480
Cadet Men U 60kg,MALE,15,17,55.1,60,,ORANGE,240,0,480
Cadet Men U 66kg,MALE,15,17,60.1,66,,ORANGE,240,0,480
Cadet Men U 73kg,MALE,15,17,66.1,73,,ORANGE,240,0,480
Cadet Men U 81kg,MALE,15,17,73.1,81,,ORANGE,240,0,480
Cadet Men U 90kg,MALE,15,17,81.1,90,,ORANGE,240,0,480
Cadet Women + 70kg,FEMALE,15,17,70.1,,,ORANGE,240,0,480
Cadet Women U 40kg,FEMALE,15,17,,40,,ORANGE,240,0,480
Cadet Women U 44kg,FEMALE,15,17,40.1,44,,ORANGE,240,0,480
Cadet Women U 48kg,FEMALE,15,17,44.1,48,,ORANGE,240,0,480
Cadet Women U 52kg,FEMALE,15,17,48.1,52,,ORANGE,240,0,480
Cadet Women U 57kg,FEMALE,15,17,52.1,57,,ORANGE,240,0,480
Cadet Women U 63kg,FEMALE,15,17,57.1,63,,ORANGE,240,0,480
Cadet Women U 70kg,FEMALE,15,17,63.1,70,,ORANGE,240,0,480
Junior Boys + 50kg,MALE,9,11,50.1,,,ORANGE,180,0,360
Junior Boys U 27kg,MALE,9,11,,27,,ORANGE,180,0,360
Junior Boys U 30kg,MALE,9,11,27.1,30,,ORANGE,180,0,360
Junior Boys U 34kg,MALE,9,11,30.1,34,,ORANGE,180,0,360
Junior Boys U 38kg,MALE,9,11,34.1,38,,ORANGE,180,0,360
Junior Boys U 42kg,MALE,9,11,38.1,42,,ORANGE,180,0,360
Junior Boys U 46kg,MALE,9,11,42.1,46,,ORANGE,180,0,360
Junior Boys U 50kg,MALE,9,11,46.1,50,,ORANGE,180,0,360
Junior Girls +52kg,FEMALE,9,11,52.1,,,ORANGE,180,0,360
Junior Girls U 29kg,FEMALE,9,11,,29,,ORANGE,180,0,360
Junior Girls U 32kg,FEMALE,9,11,29.1,32,,ORANGE,180,0,360
Junior Girls U 36kg,FEMALE,9,11,32.1,36,,ORANGE,180,0,360
Junior Girls U 40kg,FEMALE,9,11,36.1,40,,ORANGE,180,0,360
Junior Girls U 44kg,FEMALE,9,11,40.1,44,,ORANGE,180,0,360
Junior Girls U 48kg,FEMALE,9,11,44.1,48,,ORANGE,180,0,360
Junior Girls U 52kg,FEMALE,9,11,48.1,52,,ORANGE,180,0,360
Junior Men +100kg,MALE,15,20,100.1,,,ORANGE,240,0,480
Junior Men U 55kg,MALE,15,20,,55,,ORANGE,240,0,480
Junior Men U 60kg,MALE,15,20,55.1,60,,ORANGE,240,0,480
Junior Men U 66kg,MALE,15,20,60.1,66,,ORANGE,240,0,480
Junior Men U 73kg,MALE,15,20,66.1,73,,ORANGE,240,0,480
Junior Men U 81kg,MALE,15,20,73.1,81,,ORANGE,240,0,480
Junior Men U 90kg,MALE,15,20,81.1,90,,ORANGE,240,0,480
Junior Men U100kg,MALE,15,20,90.1,100,,ORANGE,240,0,480
Junior Women + 78kg,FEMALE,15,20,78.1,,,ORANGE,240,0,480
Junior Women U 44kg,FEMALE,15,20,,44,,ORANGE,240,0,480
Junior Women U 48kg,FEMALE,15,20,44.1,48,,ORANGE,240,0,480
Junior Women U 52kg,FEMALE,15,20,48.1,52,,ORANGE,240,0,480
Junior Women U 57kg,FEMALE,15,20,52.1,57,,ORANGE,240,0,480
Junior Women U 63kg,FEMALE,15,20,57.1,63,,ORANGE,240,0,480
Junior Women U 70kg,FEMALE,15,20,63.1,70,,ORANGE,240,0,480
Junior Women U 78kg,FEMALE,15,20,70.1,78,,ORANGE,240,0,480
Masters Men +100kg,MALE,30,,100.1,,,ORANGE,180,0,480
Masters Men Open,MALE,30,,,,,ORANGE,180,0,480
Masters Men U 60kg,MALE,30,,,60,,ORANGE,180,0,480
Masters Men U 66kg,MALE,30,,60.1,66,,ORANGE,180,0,480
Masters Men U 73kg,MALE,30,,66.1,73,,ORANGE,180,0,480
Masters Men U 81kg,MALE,30,,73.1,81,,ORANGE,180,0,480
Masters Men U 90kg,MALE,30,,81.1,90,,ORANGE,180,0,480
Masters Men U100kg,MALE,30,,90.1,100,,ORANGE,180,0,480
Masters Women + 78kg,FEMALE,30,,78.1,,,ORANGE,180,0,480
Masters Women Open,FEMALE,30,,,,,ORANGE,180,0,480
Masters Women U 48kg,FEMALE,30,,,48,,ORANGE,180,0,480
Masters Women U 52kg,FEMALE,30,,48.1,52,,ORANGE,180,0,480
Masters Women U 57kg,FEMALE,30,,52.1,57,,ORANGE,180,0,480
Masters Women U 63kg,FEMALE,30,,57.1,63,,ORANGE,180,0,480
Masters Women U 70kg,FEMALE,30,,63.1,70,,ORANGE,180,0,480
Masters Women U 78kg,FEMALE,30,,70.1,78,,ORANGE,180,0,480
Mons Boys + 45kg,MALE,8,9,45.1,,,YELLOW,180,0,480
Mons Boys U 21kg,MALE,8,9,,21,,YELLOW,180,0,480
Mons Boys U 24kg,MALE,8,9,21.1,24,,YELLOW,180,0,480
Mons Boys U 27kg,MALE,8,9,24.1,27,,YELLOW,180,0,480
Mons Boys U 31kg,MALE,8,9,27.1,31,,YELLOW,180,0,480
Mons Boys U 35kg,MALE,8,9,31.1,35,,YELLOW,180,0,480
Mons Boys U 40kg,MALE,8,9,35.1,40,,YELLOW,180,0,480
Mons Boys U 45kg,MALE,8,9,40.1,45,,YELLOW,180,0,480
Mons Girls + 45kg,FEMALE,8,9,45.1,,,YELLOW,180,0,480
Mons Girls U 21kg,FEMALE,8,9,,21,,YELLOW,180,0,480
Mons Girls U 24kg,FEMALE,8,9,21.1,24,,YELLOW,180,0,480
Mons Girls U 27kg,FEMALE,8,9,24.1,27,,YELLOW,180,0,480
Mons Girls U 31kg,FEMALE,8,9,27.1,31,,YELLOW,180,0,480
Mons Girls U 35kg,FEMALE,8,9,31.1,35,,YELLOW,180,0,480
