Division,Sex,Min Age,Max Age,Min Weight,Max Weight,Min Grade,Max Grade,Match Time,Minimum Break Time,Golden Score Time
3/4 Senior Men U 60kg,MALE,15,,,60,ORANGE,GREEN,240,480,0
3/4 Senior Men U 66kg,MALE,15,,60.1,66,ORANGE,GREEN,240,480,0
3/4 Senior Men U 73kg,MALE,15,,66.1,73,ORANGE,GREEN,240,480,0
3/4 Senior Men U 81kg,MALE,15,,73.1,81,ORANGE,GREEN,240,480,0
3/4 Senior Men U 90kg,MALE,15,,81.1,90,ORANGE,GREEN,240,480,0
3/4 Senior Men U100kg,MALE,15,,90.1,100,ORANGE,GREEN,240,480,0
3/4 Senior Men +100kg,MALE,15,,100.1,,ORANGE,GREEN,240,480,0
3/4 Senior Men Open,MALE,15,,,,ORANGE,GREEN,240,480,0
3/4 Senior Women U 48kg,FEMALE,15,,,48,ORANGE,GREEN,240,480,0
3/4 Senior Women U 52kg,FEMALE,15,,48.1,52,ORANGE,GREEN,240,480,0
3/4 Senior Women U 57kg,FEMALE,15,,52.1,57,ORANGE,GREEN,240,480,0
3/4 Senior Women U 63kg,FEMALE,15,,57.1,63,ORANGE,GREEN,240,480,0
3/4 Senior Women U 70kg,FEMALE,15,,63.1,70,ORANGE,GREEN,240,480,0
3/4 Senior Women U 78kg,FEMALE,15,,70.1,78,ORANGE,GREEN,240,480,0
3/4 Senior Women + 78kg,FEMALE,15,,78.1,,ORANGE,GREEN,240,480,0
3/4 Senior Women Open,FEMALE,15,,,,ORANGE,GREEN,240,480,0
1/2 Senior Men U 60kg,MALE,15,,,60,BLUE,BROWN,240,480,0
1/2 Senior Men U 66kg,MALE,15,,60.1,66,BLUE,BROWN,240,480,0
1/2 Senior Men U 73kg,MALE,15,,66.1,73,BLUE,BROWN,240,480,0
1/2 Senior Men U 81kg,MALE,15,,73.1,81,BLUE,BROWN,240,480,0
1/2 Senior Men U 90kg,MALE,15,,81.1,90,BLUE,BROWN,240,480,0
1/2 Senior Men U100kg,MALE,15,,90.1,100,BLUE,BROWN,240,480,0
1/2 Senior Men +100kg,MALE,15,,100.1,,BLUE,BROWN,240,480,0
1/2 Senior Men Open,MALE,15,,,,BLUE,BROWN,240,480,0
1/2 Senior Women U 48kg,FEMALE,15,,,48,BLUE,BROWN,240,480,0
1/2 Senior Women U 52kg,FEMALE,15,,48.1,52,BLUE,BROWN,240,480,0
1/2 Senior Women U 57kg,FEMALE,15,,52.1,57,BLUE,BROWN,240,480,0
1/2 Senior Women U 63kg,FEMALE,15,,57.1,63,BLUE,BROWN,240,480,0
1/2 Senior Women U 70kg,FEMALE,15,,63.1,70,BLUE,BROWN,240,480,0
1/2 Senior Women U 78kg,FEMALE,15,,70.1,78,BLUE,BROWN,240,480,0
1/2 Senior Women + 78kg,FEMALE,15,,78.1,,BLUE,BROWN,240,480,0
1/2 Senior Women Open,FEMALE,15,,,,BLUE,BROWN,240,480,0
