Division,Sex,Min Age,Max Age,Min Weight,Max Weight,Min Grade,Max Grade,Match Time,Minimum Break Time,Golden Score Time
Masters Men U 60kg,MALE,30,,,60,ORANGE,,180,360,
Masters Men U 66kg,MALE,30,,60.1,66,ORANGE,,180,360,
Masters Men U 73kg,MALE,30,,66.1,73,ORANGE,,180,360,
Masters Men U 81kg,MALE,30,,73.1,81,ORANGE,,180,360,
Masters Men U 90kg,MALE,30,,81.1,90,ORANGE,,180,360,
Masters Men U100kg,MALE,30,,90.1,100,ORANGE,,180,360,
Masters Men +100kg,MALE,30,,100.1,,ORANGE,,180,360,
Masters Men Open,MALE,30,,,,ORANGE,,180,360,
Masters Women U 48kg,FEMALE,30,,,48,ORANGE,,180,360,
Masters Women U 52kg,FEMALE,30,,48.1,52,ORANGE,,180,360,
Masters Women U 57kg,FEMALE,30,,52.1,57,ORANGE,,180,360,
Masters Women U 63kg,FEMALE,30,,57.1,63,ORANGE,,180,360,
Masters Women U 70kg,FEMALE,30,,63.1,70,ORANGE,,180,360,
Masters Women U 78kg,FEMALE,30,,70.1,78,ORANGE,,180,360,
Masters Women + 78kg,FEMALE,30,,78.1,,ORANGE,,180,360,
Masters Women Open,FEMALE,30,,,,ORANGE,,180,360,
