Division,Sex,Min Age,Max Age,Min Weight,Max Weight,Max Grade,Min Grade,Match Time,Golden Score Time,Minimum Break Time
Group 0 Boys U 21kg,MALE,6,8,,21,,WHITE,120,,240
Group 0 Boys U 24kg,MALE,6,8,21.1,24,,WHITE,120,,240
Group 0 Boys U 27Kg,MALE,6,8,24.1,27,,WHITE,120,,240
Group 0 Boys U 30Kg,MALE,6,8,27.1,30,,WHITE,120,,240
Group 0 Boys U 34Kg,MALE,6,8,30.1,34,,WHITE,120,,240
Group 0 Boys U 38Kg,MALE,6,8,34.1,38,,WHITE,120,,240
Group 0 Boys U 42Kg,MALE,6,8,38.1,42,,WHITE,120,,240
Group 0 Boys + 42kg,MALE,6,8,42.1,,,WHITE,120,,240
Group 0 Girls U 19kg,FEMALE,6,8,,19,,WHITE,120,,240
Group 0 Girls U 22kg,FEMALE,6,8,19.1,22,,WHITE,120,,240
Group 0 Girls U 25kg,FEMALE,6,8,22.1,25,,WHITE,120,,240
Group 0 Girls U 28kg,FEMALE,6,8,25.1,28,,WHITE,120,,240
Group 0 Girls U 32kg,FEMALE,6,8,28.1,32,,WHITE,120,,240
Group 0 Girls U 36kg,FEMALE,6,8,32.1,36,,WHITE,120,,240
Group 0 Girls U 40kg,FEMALE,6,8,36.1,40,,WHITE,120,,240
Group 0 Girls + 40kg,FEMALE,6,8,40.1,,,WHITE,120,,240
9 YEAR  BOYS U 24kg,MALE,9,9,,24,,WHITE,120,,240
9 YEAR  BOYS U 27kg,MALE,9,9,24.1,27,,WHITE,120,,240
9 YEAR  BOYS U 30kg,MALE,9,9,27.1,30,,WHITE,120,,240
9 YEAR  BOYS U 34kg,MALE,9,9,30.1,34,,WHITE,120,,240
9 YEAR  BOYS U 38kg,MALE,9,9,34.1,38,,WHITE,120,,240
9 YEAR  BOYS U 42kg,MALE,9,9,38.1,42,,WHITE,120,,240
9 YEAR  BOYS U 46kg,MALE,9,9,42.1,46,,WHITE,120,,240
9 YEAR  BOYS U 50kg,MALE,9,9,46.1,50,,WHITE,120,,240
9 YEAR  BOYS + 50kg,MALE,9,9,50.1,,,WHITE,120,,240
9 YEAR  GIRLS U 25kg,FEMALE,9,9,,25,,WHITE,120,,240
9 YEAR  GIRLS U 28kg,FEMALE,9,9,25.1,28,,WHITE,120,,240
9 YEAR  GIRLS U 32kg,FEMALE,9,9,28.1,32,,WHITE,120,,240
9 YEAR  GIRLS U 36kg,FEMALE,9,9,32.1,36,,WHITE,120,,240
9 YEAR  GIRLS U 40kg,FEMALE,9,9,36.1,40,,WHITE,120,,240
9 YEAR  GIRLS U 44kg,FEMALE,9,9,40.1,44,,WHITE,120,,240
9 YEAR  GIRLS + 44kg,FEMALE,9,9,44.1,,,WHITE,120,,240
10 YEAR  BOYS U 24kg,MALE,10,10,,24,,WHITE,120,,240
10 YEAR  BOYS U 27kg,MALE,10,10,24.1,27,,WHITE,120,,240
10 YEAR  BOYS U 30kg,MALE,10,10,27.1,30,,WHITE,120,,240
10 YEAR  BOYS U 34kg,MALE,10,10,30.1,34,,WHITE,120,,240
10 YEAR  BOYS U 38kg,MALE,10,10,34.1,38,,WHITE,120,,240
10 YEAR  BOYS U 42kg,MALE,10,10,38.1,42,,WHITE,120,,240
10 YEAR  BOYS U 46kg,MALE,10,10,42.1,46,,WHITE,120,,240
10 YEAR  BOYS U 50kg,MALE,10,10,46.1,50,,WHITE,120,,240
10 YEAR  BOYS + 50kg,MALE,10,10,50.1,,,WHITE,120,,240
10 YEAR  GIRLS U 25kg,FEMALE,10,10,,25,,WHITE,120,,240
10 YEAR  GIRLS U 28kg,FEMALE,10,10,25.1,28,,WHITE,120,,240
10 YEAR  GIRLS U 32kg,FEMALE,10,10,28.1,32,,WHITE,120,,240
10 YEAR  GIRLS U 36kg,FEMALE,10,10,32.1,36,,WHITE,120,,240
10 YEAR  GIRLS U 40kg,FEMALE,10,10,36.1,40,,WHITE,120,,240
10 YEAR  GIRLS U 44kg,FEMALE,10,10,40.1,44,,WHITE,120,,240
10 YEAR  GIRLS + 44kg,FEMALE,10,10,44.1,,,WHITE,120,,240
11 YEAR  BOYS U 27kg,MALE,11,11,,27,,WHITE,120,,240
11 YEAR  BOYS U 30kg,MALE,11,11,27.1,30,,WHITE,120,,240
11 YEAR  BOYS U 34kg,MALE,11,11,30.1,34,,WHITE,120,,240
11 YEAR  BOYS U 38kg,MALE,11,11,34.1,38,,WHITE,120,,240
11 YEAR  BOYS U 42kg,MALE,11,11,38.1,42,,WHITE,120,,240
11 YEAR  BOYS U 46kg,MALE,11,11,42.1,46,,WHITE,120,,240
11 YEAR  BOYS U 50kg,MALE,11,11,46.1,50,,WHITE,120,,240
11 YEAR  BOYS U 55kg,MALE,11,11,50.1,55,,WHITE,120,,240
11 YEAR  BOYS U 60kg,MALE,11,11,55.1,60,,WHITE,120,,240
11 YEAR  BOYS + 60kg,MALE,11,11,60.1,,,WHITE,120,,240
11 YEAR  GIRLS U 28kg,FEMALE,11,11,,28,,WHITE,120,,240
11 YEAR  GIRLS U 32kg,FEMALE,11,11,28.1,32,,WHITE,120,,240
11 YEAR  GIRLS U 36kg,FEMALE,11,11,32.1,36,,WHITE,120,,240
11 YEAR  GIRLS U 40kg,FEMALE,11,11,36.1,40,,WHITE,120,,240
11 YEAR  GIRLS U 44kg,FEMALE,11,11,40.1,44,,WHITE,120,,240
11 YEAR  GIRLS U 48kg,FEMALE,11,11,44.1,48,,WHITE,120,,240
11 YEAR  GIRLS U 52kg,FEMALE,11,11,48.1,52,,WHITE,120,,240
11 YEAR  GIRLS U 57kg,FEMALE,11,11,52.1,57,,WHITE,120,,240
11 YEAR  GIRLS + 57kg,FEMALE,11,11,57.1,,,WHITE,120,,240
12 YEAR  BOYS U 27kg,MALE,12,12,,27,,WHITE,120,,240
12 YEAR  BOYS U 30kg,MALE,12,12,27.1,30,,WHITE,120,,240
12 YEAR  BOYS U 34kg,MALE,12,12,30.1,34,,WHITE,120,,240
12 YEAR  BOYS U 38kg,MALE,12,12,34.1,38,,WHITE,120,,240
12 YEAR  BOYS U 42kg,MALE,12,12,38.1,42,,WHITE,120,,240
12 YEAR  BOYS U 46kg,MALE,12,12,42.1,46,,WHITE,120,,240
12 YEAR  BOYS U 50kg,MALE,12,12,46.1,50,,WHITE,120,,240
12 YEAR  BOYS U 55kg,MALE,12,12,50.1,55,,WHITE,120,,240
12 YEAR  BOYS U 60kg,MALE,12,12,55.1,60,,WHITE,120,,240
12 YEAR  BOYS + 60kg,MALE,12,12,60.1,,,WHITE,120,,240
12 YEAR  GIRLS U 28kg,FEMALE,12,12,,28,,WHITE,120,,240
12 YEAR  GIRLS U 32kg,FEMALE,12,12,28.1,32,,WHITE,120,,240
12 YEAR  GIRLS U 36kg,FEMALE,12,12,32.1,36,,WHITE,120,,240
12 YEAR  GIRLS U 40kg,FEMALE,12,12,36.1,40,,WHITE,120,,240
12 YEAR  GIRLS U 44kg,FEMALE,12,12,40.1,44,,WHITE,120,,240
12 YEAR  GIRLS U 48kg,FEMALE,12,12,44.1,48,,WHITE,120,,240
12 YEAR  GIRLS U 52kg,FEMALE,12,12,48.1,52,,WHITE,120,,240
12 YEAR  GIRLS U 57kg,FEMALE,12,12,52.1,57,,WHITE,120,,240
12 YEAR  GIRLS + 57kg,FEMALE,12,12,57.1,,,WHITE,120,,240
GROUP 3 BOYS U 34kg,MALE,13,14,,34,,WHITE,180,,360
GROUP 3 BOYS U 38kg,MALE,13,14,34.1,38,,WHITE,180,,360
GROUP 3 BOYS U 42kg,MALE,13,14,38.1,42,,WHITE,180,,360
GROUP 3 BOYS U 46kg,MALE,13,14,42.1,46,,WHITE,180,,360
GROUP 3 BOYS U 50kg,MALE,13,14,46.1,50,,WHITE,180,,360
GROUP 3 BOYS U 55kg,MALE,13,14,50.1,55,,WHITE,180,,360
GROUP 3 BOYS U 60kg,MALE,13,14,55.1,60,,WHITE,180,,360
GROUP 3 BOYS U 66kg,MALE,13,14,60.1,66,,WHITE,180,,360
GROUP 3 BOYS + 66kg,MALE,13,14,66.1,,,WHITE,180,,360
GROUP 3 GIRLS U 36kg,FEMALE,13,14,,36,,WHITE,180,,360
GROUP 3 GIRLS U 40kg,FEMALE,13,14,36.1,40,,WHITE,180,,360
GROUP 3 GIRLS U 44kg,FEMALE,13,14,40.1,44,,WHITE,180,,360
GROUP 3 GIRLS U 48kg,FEMALE,13,14,44.1,48,,WHITE,180,,360
GROUP 3 GIRLS U 52kg,FEMALE,13,14,48.1,52,,WHITE,180,,360
GROUP 3 GIRLS U 57kg,FEMALE,13,14,52.1,57,,WHITE,180,,360
GROUP 3 GIRLS U 63kg,FEMALE,13,14,57.1,63,,WHITE,180,,360
GROUP 3 GIRLS + 63kg,FEMALE,13,14,63.1,,,WHITE,180,,360
Cadet Men U 46kg,MALE,15,17,,46,,WHITE,180,,360
Cadet Men U 50kg,MALE,15,17,46.1,50,,WHITE,180,,360
Cadet Men U 55kg,MALE,15,17,50.1,55,,WHITE,180,,360
Cadet Men U 60kg,MALE,15,17,55.1,60,,WHITE,180,,360
Cadet Men U 66kg,MALE,15,17,60.1,66,,WHITE,180,,360
Cadet Men U 73kg,MALE,15,17,66.1,73,,WHITE,180,,360
