Division,Sex,Min Age,Max Age,Min Weight,Max Weight,Max Grade,Min Grade,Match Time,Golden Score Time,Minimum Break Time
Beginners,MALE,5,9,,,WHITE,WHITE,120,60,240
Beginners,FEMALE,5,9,,,WHITE,WHITE,120,60,240
WYO Boys U 21kg,MALE,,12,,21,ORANGE,WHITE,120,60,240
WYO Boys U 24kg,MALE,,12,,24,ORANGE,WHITE,120,60,240
WYO Boys U 27kg,MALE,,12,21.1,27,ORANGE,WHITE,120,60,240
WYO Boys U 30kg,MALE,,12,24.1,30,ORANGE,WHITE,120,60,240
WYO Boys U 34kg,MALE,,12,27.1,34,ORANGE,WHITE,120,60,240
WYO Boys U 38kg,MALE,,12,30.1,38,ORANGE,WHITE,120,60,240
WYO Boys U 42kg,MALE,,12,34.1,42,ORANGE,WHITE,120,60,240
WYO Boys U 46kg,MALE,,12,38.1,46,ORANGE,WHITE,120,60,240
WYO Boys U 50kg,MALE,,12,42.1,50,ORANGE,WHITE,120,60,240
WYO Boys + 50kg,MALE,,12,46.1,,ORANGE,WHITE,120,60,240
WYO Girls U 19kg,FEMALE,,12,,19,ORANGE,WHITE,120,60,240
WYO Girls U 22kg,FEMALE,,12,,22,ORANGE,WHITE,120,60,240
WYO Girls U 25kg,FEMALE,,12,19.1,25,ORANGE,WHITE,120,60,240
WYO Girls U 28kg,FEMALE,,12,22.1,28,ORANGE,WHITE,120,60,240
WYO Girls U 32kg,FEMALE,,12,25.1,32,ORANGE,WHITE,120,60,240
WYO Girls U 36kg,FEMALE,,12,28.1,36,ORANGE,WHITE,120,60,240
WYO Girls U 40kg,FEMALE,,12,32.1,40,ORANGE,WHITE,120,60,240
WYO Girls U 44kg,FEMALE,,12,36.1,44,ORANGE,WHITE,120,60,240
WYO Girls + 44kg,FEMALE,,12,40.1,,ORANGE,WHITE,120,60,240
Group 0 Boys U 21kg,MALE,6,8,,21,,WHITE,120,60,240
Group 0 Boys U 24kg,MALE,6,8,,24,,WHITE,120,60,240
Group 0 Boys U 27Kg,MALE,6,8,21.1,27,,WHITE,120,60,240
Group 0 Boys U 30Kg,MALE,6,8,24.1,30,,WHITE,120,60,240
Group 0 Boys U 34Kg,MALE,6,8,27.1,34,,WHITE,120,60,240
Group 0 Boys U 38Kg,MALE,6,8,30.1,38,,WHITE,120,60,240
Group 0 Boys U 42Kg,MALE,6,8,34.1,42,,WHITE,120,60,240
Group 0 Boys + 42kg,MALE,6,8,38.1,,,WHITE,120,60,240
Group 0 Girls U 19kg,FEMALE,6,8,,19,,WHITE,120,60,240
Group 0 Girls U 22kg,FEMALE,6,8,,22,,WHITE,120,60,240
Group 0 Girls U 25kg,FEMALE,6,8,19.1,25,,WHITE,120,60,240
Group 0 Girls U 28kg,FEMALE,6,8,22.1,28,,WHITE,120,60,240
Group 0 Girls U 32kg,FEMALE,6,8,25.1,32,,WHITE,120,60,240
Group 0 Girls U 36kg,FEMALE,6,8,28.1,36,,WHITE,120,60,240
Group 0 Girls U 40kg,FEMALE,6,8,32.1,40,,WHITE,120,60,240
Group 0 Girls + 40kg,FEMALE,6,8,36.1,,,WHITE,120,60,240
9 YEAR OLD BOYS U 24kg,MALE,7,9,,24,,WHITE,120,60,240
9 YEAR OLD BOYS U 27kg,MALE,7,9,,27,,WHITE,120,60,240
9 YEAR OLD BOYS U 30kg,MALE,7,9,24.1,30,,WHITE,120,60,240
9 YEAR OLD BOYS U 34kg,MALE,7,9,27.1,34,,WHITE,120,60,240
9 YEAR OLD BOYS U 38kg,MALE,7,9,30.1,38,,WHITE,120,60,240
9 YEAR OLD BOYS U 42kg,MALE,7,9,34.1,42,,WHITE,120,60,240
9 YEAR OLD BOYS U 46kg,MALE,7,9,38.1,46,,WHITE,120,60,240
9 YEAR OLD BOYS U 50kg,MALE,7,9,42.1,50,,WHITE,120,60,240
9 YEAR OLD BOYS + 50kg,MALE,7,9,46.1,,,WHITE,120,60,240
9 YEAR OLD GIRLS U 25kg,FEMALE,7,9,,25,,WHITE,120,60,240
9 YEAR OLD GIRLS U 28kg,FEMALE,7,9,,28,,WHITE,120,60,240
9 YEAR OLD GIRLS U 32kg,FEMALE,7,9,25.1,32,,WHITE,120,60,240
9 YEAR OLD GIRLS U 36kg,FEMALE,7,9,28.1,36,,WHITE,120,60,240
9 YEAR OLD GIRLS U 40kg,FEMALE,7,9,32.1,40,,WHITE,120,60,240
9 YEAR OLD GIRLS U 44kg,FEMALE,7,9,36.1,44,,WHITE,120,60,240
9 YEAR OLD GIRLS + 44kg,FEMALE,7,9,40.1,,,WHITE,120,60,240
10 YEAR OLD BOYS U 24kg,MALE,8,10,,24,,WHITE,120,60,240
10 YEAR OLD BOYS U 27kg,MALE,8,10,,27,,WHITE,120,60,240
10 YEAR OLD BOYS U 30kg,MALE,8,10,24.1,30,,WHITE,120,60,240
10 YEAR OLD BOYS U 34kg,MALE,8,10,27.1,34,,WHITE,120,60,240
10 YEAR OLD BOYS U 38kg,MALE,8,10,30.1,38,,WHITE,120,60,240
10 YEAR OLD BOYS U 42kg,MALE,8,10,34.1,42,,WHITE,120,60,240
10 YEAR OLD BOYS U 46kg,MALE,8,10,38.1,46,,WHITE,120,60,240
10 YEAR OLD BOYS U 50kg,MALE,8,10,42.1,50,,WHITE,120,60,240
10 YEAR OLD BOYS + 50kg,MALE,8,10,46.1,,,WHITE,120,60,240
10 YEAR OLD GIRLS U 25kg,FEMALE,8,10,,25,,WHITE,120,60,240
10 YEAR OLD GIRLS U 28kg,FEMALE,8,10,,28,,WHITE,120,60,240
10 YEAR OLD GIRLS U 32kg,FEMALE,8,10,25.1,32,,WHITE,120,60,240
10 YEAR OLD GIRLS U 36kg,FEMALE,8,10,28.1,36,,WHITE,120,60,240
10 YEAR OLD GIRLS U 40kg,FEMALE,8,10,32.1,40,,WHITE,120,60,240
10 YEAR OLD GIRLS U 44kg,FEMALE,8,10,36.1,44,,WHITE,120,60,240
10 YEAR OLD GIRLS + 44kg,FEMALE,8,10,40.1,,,WHITE,120,60,240
11 YEAR OLD BOYS U 27kg,MALE,9,11,,27,,WHITE,120,60,240
11 YEAR OLD BOYS U 30kg,MALE,9,11,,30,,WHITE,120,60,240
11 YEAR OLD BOYS U 34kg,MALE,9,11,27.1,34,,WHITE,120,60,240
11 YEAR OLD BOYS U 38kg,MALE,9,11,30.1,38,,WHITE,120,60,240
11 YEAR OLD BOYS U 42kg,MALE,9,11,34.1,42,,WHITE,120,60,240
11 YEAR OLD BOYS U 46kg,MALE,9,11,38.1,46,,WHITE,120,60,240
11 YEAR OLD BOYS U 50kg,MALE,9,11,42.1,50,,WHITE,120,60,240
11 YEAR OLD BOYS U 55kg,MALE,9,11,46.1,55,,WHITE,120,60,240
11 YEAR OLD BOYS U 60kg,MALE,9,11,50.1,60,,WHITE,120,60,240
11 YEAR OLD BOYS + 60kg,MALE,9,11,55.1,,,WHITE,120,60,240
11 YEAR OLD GIRLS U 28kg,FEMALE,9,11,,28,,WHITE,120,60,240
11 YEAR OLD GIRLS U 32kg,FEMALE,9,11,,32,,WHITE,120,60,240
11 YEAR OLD GIRLS U 36kg,FEMALE,9,11,28.1,36,,WHITE,120,60,240
11 YEAR OLD GIRLS U 40kg,FEMALE,9,11,32.1,40,,WHITE,120,60,240
11 YEAR OLD GIRLS U 44kg,FEMALE,9,11,36.1,44,,WHITE,120,60,240
11 YEAR OLD GIRLS U 48kg,FEMALE,9,11,40.1,48,,WHITE,120,60,240
11 YEAR OLD GIRLS U 52kg,FEMALE,9,11,44.1,52,,WHITE,120,60,240
11 YEAR OLD GIRLS U 57kg,FEMALE,9,11,48.1,57,,WHITE,120,60,240
11 YEAR OLD GIRLS + 57kg,FEMALE,9,11,52.1,,,WHITE,120,60,240
12 YEAR OLD BOYS U 27kg,MALE,10,12,,27,,WHITE,120,60,240
12 YEAR OLD BOYS U 30kg,MALE,10,12,,30,,WHITE,120,60,240
