Division,Max Weight,Max Age,Sex,Min Age,Min Weight,Max Grade,Min Grade,Match Time,Minimum Break Time,Golden Score Time
U/10 Boys O23kg U26kg,26,9,MALE,7,23,,ORANGE,120,300,120
U/10 Boys U30kg,30,9,MALE,7,26.1,,ORANGE,120,300,120
U/10 Boys U34kg,34,9,MALE,7,30.1,,ORANGE,120,300,120
U/10 Boys U38kg,38,9,MALE,7,34.1,,ORANGE,120,300,120
U/10 Boys U42kg,42,9,MALE,7,38.1,,ORANGE,120,300,120
U/10 Boys U46kg,46,9,MALE,7,42.1,,ORANGE,120,300,120
U/10 Boys U50kg,50,9,MALE,7,46.1,,ORANGE,120,300,120
U/10 Boys U55kg,55,9,MALE,7,50.1,,ORANGE,120,300,120
U/10 Boys U60kg,60,9,MALE,7,55.1,,ORANGE,120,300,120
U/10 Boys U66kg,66,9,MALE,7,60.1,,ORANGE,120,300,120
U/10 Boys U73kg,73,9,MALE,7,66.1,,ORANGE,120,300,120
U/10 Boys U81kg,81,9,MALE,7,73.1,,ORANGE,120,300,120
U/10 Boys Z81kg,,9,MALE,7,81.1,,ORANGE,120,300,120
U/10 Girls O23kg U28kg,28,9,FEMALE,7,23,,ORANGE,120,300,120
U/10 Girls U32kg,32,9,FEMALE,7,28.1,,ORANGE,120,300,120
U/10 Girls U36kg,36,9,FEMALE,7,32.1,,ORANGE,120,300,120
U/10 Girls U40kg,40,9,FEMALE,7,36.1,,ORANGE,120,300,120
U/10 Girls U44kg,44,9,FEMALE,7,40.1,,ORANGE,120,300,120
U/10 Girls U48kg,48,9,FEMALE,7,44.1,,ORANGE,120,300,120
U/10 Girls U52kg,52,9,FEMALE,7,48.1,,ORANGE,120,300,120
U/10 Girls U57kg,57,9,FEMALE,7,52.1,,ORANGE,120,300,120
U/10 Girls U63kg,63,9,FEMALE,7,57.1,,ORANGE,120,300,120
U/10 Girls U70kg,70,9,FEMALE,7,63.1,,ORANGE,120,300,120
U/10 Girls U78kg,78,9,FEMALE,7,70.1,,ORANGE,120,300,120
U/10 Girls Z78kg,,9,FEMALE,7,78.1,,ORANGE,120,300,120
U/13 Boys O26kg U30kg,30,12,MALE,7,26,,ORANGE,120,300,120
U/13 Boys U34kg,34,12,MALE,7,30.1,,ORANGE,120,300,120
U/13 Boys U38kg,38,12,MALE,7,34.1,,ORANGE,120,300,120
U/13 Boys U42kg,42,12,MALE,7,38.1,,ORANGE,120,300,120
U/13 Boys U46kg,46,12,MALE,7,42.1,,ORANGE,120,300,120
U/13 Boys U50kg,50,12,MALE,7,46.1,,ORANGE,120,300,120
U/13 Boys U55kg,55,12,MALE,7,50.1,,ORANGE,120,300,120
U/13 Boys U60kg,60,12,MALE,7,55.1,,ORANGE,120,300,120
U/13 Boys U66kg,66,12,MALE,7,60.1,,ORANGE,120,300,120
U/13 Boys U73kg,73,12,MALE,7,66.1,,ORANGE,120,300,120
U/13 Boys U81kg,81,12,MALE,7,73.1,,ORANGE,120,300,120
U/13 Boys Z81kg,,12,MALE,7,81.1,,ORANGE,120,300,120
U/13 Girls O26kg U32kg,32,12,FEMALE,7,26,,ORANGE,120,300,120
U/13 Girls U36kg,36,12,FEMALE,7,32.1,,ORANGE,120,300,120
U/13 Girls U40kg,40,12,FEMALE,7,36.1,,ORANGE,120,300,120
U/13 Girls U44kg,44,12,FEMALE,7,40.1,,ORANGE,120,300,120
U/13 Girls U48kg,48,12,FEMALE,7,44.1,,ORANGE,120,300,120
U/13 Girls U52kg,52,12,FEMALE,7,48.1,,ORANGE,120,300,120
U/13 Girls U57kg,57,12,FEMALE,7,52.1,,ORANGE,120,300,120
U/13 Girls U63kg,63,12,FEMALE,7,57.1,,ORANGE,120,300,120
U/13 Girls U70kg,70,12,FEMALE,7,63.1,,ORANGE,120,300,120
U/13 Girls U78kg,78,12,FEMALE,7,70.1,,ORANGE,120,300,120
U/13 Girls Z78kg,,12,FEMALE,7,78.1,,ORANGE,120,300,120
U/16 Boys U38kg,38,15,MALE,7,,,ORANGE,180,300,180
U/16 Boys U42kg,42,15,MALE,7,38.1,,ORANGE,180,300,180
U/16 Boys U46kg,46,15,MALE,7,42.1,,ORANGE,180,300,180
U/16 Boys U50kg,50,15,MALE,7,46.1,,ORANGE,180,300,180
U/16 Boys U55kg,55,15,MALE,7,50.1,,ORANGE,180,300,180
U/16 Boys U60kg,60,15,MALE,7,55.1,,ORANGE,180,300,180
U/16 Boys U66kg,66,15,MALE,7,60.1,,ORANGE,180,300,180
U/16 Boys U73kg,73,15,MALE,7,66.1,,ORANGE,180,300,180
U/16 Boys U81kg,81,15,MALE,7,73.1,,ORANGE,180,300,180
U/16 Boys Z81kg,,15,MALE,7,81.1,,ORANGE,180,300,180
U/16 Girls U40kg,40,15,FEMALE,7,,,ORANGE,180,300,180
U/16 Girls U44kg,44,15,FEMALE,7,40.1,,ORANGE,180,300,180
U/16 Girls U48kg,48,15,FEMALE,7,44.1,,ORANGE,180,300,180
U/16 Girls U52kg,52,15,FEMALE,7,48.1,,ORANGE,180,300,180
U/16 Girls U57kg,57,15,FEMALE,7,52.1,,ORANGE,180,300,180
U/16 Girls U63kg,63,15,FEMALE,7,57.1,,ORANGE,180,300,180
U/16 Girls U70kg,70,15,FEMALE,7,63.1,,ORANGE,180,300,180
U/16 Girls U78kg,78,15,FEMALE,7,70.1,,ORANGE,180,300,180
U/16 Girls Z78kg,,15,FEMALE,7,78.1,,ORANGE,180,300,180
U/20 Men U55kg,55,19,MALE,7,,,ORANGE,240,300,180
U/20 Men U60kg,60,19,MALE,7,55.1,,ORANGE,240,300,180
U/20 Men U66kg,66,19,MALE,7,60.1,,ORANGE,240,300,180
U/20 Men U73kg,73,19,MALE,7,66.1,,ORANGE,240,300,180
U/20 Men U81kg,81,19,MALE,7,73.1,,ORANGE,240,300,180
U/20 Men U90kg,90,19,MALE,7,81.1,,ORANGE,240,300,180
U/20 Men Z90kg,,19,MALE,7,90.1,,ORANGE,240,300,180
U/20 Women U44kg,44,19,FEMALE,7,,,ORANGE,240,300,180
U/20 Women U48kg,48,19,FEMALE,7,44.1,,ORANGE,240,300,180
U/20 Women U52kg,52,19,FEMALE,7,48.1,,ORANGE,240,300,180
U/20 Women U57kg,57,19,FEMALE,7,52.1,,ORANGE,240,300,180
U/20 Women U63kg,63,19,FEMALE,7,57.1,,ORANGE,240,300,180
U/20 Women U70kg,70,19,FEMALE,7,63.1,,ORANGE,240,300,180
U/20 Women U78kg,78,19,FEMALE,7,70.1,,ORANGE,240,300,180
U/20 Women Z78kg,,19,FEMALE,7,78.1,,ORANGE,240,300,180
Z/20 Men U60kg,60,,MALE,7,,,ORANGE,300,300,180
Z/20 Men U66kg,66,,MALE,7,60.1,,ORANGE,300,300,180
Z/20 Men U73kg,73,,MALE,7,66.1,,ORANGE,300,300,180
Z/20 Men U81kg,81,,MALE,7,73.1,,ORANGE,300,300,180
Z/20 Men U90kg,90,,MALE,7,81.1,,ORANGE,300,300,180
Z/20 Men U100kg,100,,MALE,7,90.1,,ORANGE,300,300,180
Z/20 Men O100kg,,,MALE,7,100.1,,ORANGE,300,300,180
Z/20 Women U48kg,48,,FEMALE,7,,,ORANGE,300,300,180
Z/20 Women U52kg,52,,FEMALE,7,48.1,,ORANGE,300,300,180
Z/20 Women U57kg,57,,FEMALE,7,52.1,,ORANGE,300,300,180
Z/20 Women U63kg,63,,FEMALE,7,57.1,,ORANGE,300,300,180
Z/20 Women U70kg,70,,FEMALE,7,63.1,,ORANGE,300,300,180
Z/20 Women U78kg,78,,FEMALE,7,70.1,,ORANGE,300,300,180
Z/20 Women Z78kg,,,FEMALE,7,78.1,,ORANGE,300,300,180
