Fight,Player 1,Player 2
1,P1,P2
2,P3,P4
3,P1,P5
4,P2,P3
5,P4,P5
6,P1,P3
7,P2,P4
8,P3,P5
9,P1,P4
10,P2,P5
11,RAT1-1-2-3-4-5-6-7-8-9-10,RAT5-1-2-3-4-5-6-7-8-9-10
12,RAT2-1-2-3-4-5-6-7-8-9-10,RAT4-1-2-3-4-5-6-7-8-9-10
13,W11,RAT3-1-2-3-4-5-6-7-8-9-10
14,W13,W12
15,P6,P7
16,P8,P9
17,P6,P10
18,P7,P8
19,P9,P10
20,P6,P8
21,P7,P9
22,P8,P10
23,P6,P9
24,P7,P10
25,RAT1-15-16-17-18-19-20-21-22-23-24 ,RAT5-15-16-17-18-19-20-21-22-23-24 
26,RAT2-15-16-17-18-19-20-21-22-23-24 ,RAT4-15-16-17-18-19-20-21-22-23-24 
27,W25,RAT3-15-16-17-18-19-20-21-22-23-24 
28,W27,W26
29,$!RAP2-1-2-3-4-5-6-7-8-9-10|W14|L14,$!RBP2-15-16-17-18-19-20-21-22-23-24|W28|L28
30,$!RAP1-1-2-3-4-5-6-7-8-9-10|W14,$!RBP1-15-16-17-18-19-20-21-22-23-24|W28
