Fight,Player 1,Player 2
1,P1,P33
2,P17,P49
3,P9,P41
4,P25,P57
5,P5,P37
6,P21,P53
7,P13,P45
8,P29,P61
9,P3,P35
10,P19,P51
11,P11,P43
12,P27,P59
13,P7,P39
14,P23,P55
15,P15,P47
16,P31,P63
17,P2,P34
18,P18,P50
19,P10,P42
20,P26,P58
21,P6,P38
22,P22,P54
23,P14,P46
24,P30,P62
25,P4,P36
26,P20,P52
27,P12,P44
28,P28,P60
29,P8,P40
30,P24,P56
31,P16,P48
32,P32,P64
33,W1,W2
34,W3,W4
35,W5,W6
36,W7,W8
37,W9,W10
38,W11,W12
39,W13,W14
40,W15,W16
41,W17,W18
42,W19,W20
43,W21,W22
44,W23,W24
45,W25,W26
46,W27,W28
47,W29,W30
48,W31,W32
49,W33,W34
50,W35,W36
51,W37,W38
52,W39,W40
53,W41,W42
54,W43,W44
55,W45,W46
56,W47,W48
57,W49,W50
58,W51,W52
59,W53,W54
60,W55,W56
61,L57,L58
62,L59,L60
63,W57,W58
64,W59,W60
65,W61,L64
66,W62,L63
67,W63,W64
