"Fight","Player 1","Player 2","iPoints","wPoints","yPoints","kPoints","lPoints"
1,"P1","P9",0,0,0,0,0
2,"P5","P13",0,0,0,0,0
3,"P3","P11",0,0,0,0,0
4,"P7","P15",0,0,0,0,0
5,"P2","P10",0,0,0,0,0
6,"P6","P14",0,0,0,0,0
7,"P4","P12",0,0,0,0,0
8,"P8","P16",0,0,0,0,0
9,"W1","W2",0,0,0,0,0
10,"W3","W4",0,0,0,0,0
11,"W5","W6",0,0,0,0,0
12,"W7","W8",0,0,0,0,0
13,"LW9","L9",0,0,0,0,0
14,"LW10","L10",0,0,0,0,0
15,"LW11","L11",0,0,0,0,0
16,"LW12","L12",0,0,0,0,0
17,"W9","W10",0,0,0,0,0
18,"W11","W12",0,0,0,0,0
19,"W13","W14",0,0,0,0,0
20,"W15","W16",0,0,0,0,0
21,"W19","L18",1,1,1,1,0
22,"W20","L17",1,1,1,1,0
23,"W17","W18",3,3,3,3,2
