"Fight","Player 1","Player 2","iPoints","wPoints","yPoints","dPoints","lPoints"
1,"P1","P17",0,0,0,0,0
2,"P9","P25",0,0,0,0,0
3,"P5","P29",0,0,0,0,0
4,"P13","P21",0,0,0,0,0
5,"P3","P31",0,0,0,0,0
6,"P11","P23",0,0,0,0,0
7,"P7","P27",0,0,0,0,0
8,"P15","P19",0,0,0,0,0
9,"P2","P32",0,0,0,0,0
10,"P10","P24",0,0,0,0,0
11,"P6","P28",0,0,0,0,0
12,"P14","P20",0,0,0,0,0
13,"P4","P30",0,0,0,0,0
14,"P12","P22",0,0,0,0,0
15,"P8","P26",0,0,0,0,0
16,"P16","P18",0,0,0,0,0
17,"W1","W2",0,0,0,0,0
18,"W3","W4",0,0,0,0,0
19,"W5","W6",0,0,0,0,0
20,"W7","W8",0,0,0,0,0
21,"W9","W10",0,0,0,0,0
22,"W11","W12",0,0,0,0,0
23,"W13","W14",0,0,0,0,0
24,"W15","W16",0,0,0,0,0
25,"W17","W18",0,0,0,0,0
26,"W19","W20",0,0,0,0,0
27,"W21","W22",0,0,0,0,0
28,"W23","W24",0,0,0,0,0
29,"LWW25","LW25",0,0,0,0,0
30,"LWW26","LW26",0,0,0,0,0
31,"LWW27","LW27",0,0,0,0,0
32,"LWW28","LW28",0,0,0,0,0
33,"W29","L25",0,0,0,0,0
34,"W30","L26",0,0,0,0,0
35,"W31","L27",0,0,0,0,0
36,"W32","L28",0,0,0,0,0
37,"W25","W26",0,0,0,0,0
38,"W27","W28",0,0,0,0,0
39,"W33","W34",0,0,0,0,0
40,"W35","W36",0,0,0,0,0
41,"W39","L38",1,1,1,1,0
42,"W40","L37",1,1,1,1,0
43,"W37","W38",3,3,3,3,2
